city,latitude,longitude,max_temp,humidity,cloudiness,windspeed,country,date
Saint George,37.1,-113.58,44.6,26,1,4.7,US,1609375304
Port Alfred,-33.59,26.89,70.0,92,72,1.99,ZA,1609375397
Saskylakh,71.92,114.08,-25.87,83,38,9.86,RU,1609375398
Mitú,1.2,-70.17,73.27,96,97,3.15,CO,1609375399
Chokurdakh,70.63,147.92,-30.89,85,29,5.03,RU,1609375400
Nicoya,10.15,-85.45,75.2,94,75,10.29,CR,1609375403
Busselton,-33.65,115.33,80.01,48,0,8.99,AU,1609375404
Iglesias,39.31,8.54,46.99,81,40,6.93,IT,1609375405
Hobart,-42.88,147.33,57.2,67,75,11.41,AU,1609375220
Qaanaaq,77.48,-69.36,14.32,78,100,13.27,GL,1609375407
Richards Bay,-28.78,32.04,72.79,88,82,2.75,ZA,1609375410
Atuona,-9.8,-139.03,78.73,73,2,18.3,PF,1609375411
Rikitea,-23.12,-134.97,78.19,76,0,11.88,PF,1609375412
Upernavik,72.79,-56.15,22.68,96,100,8.08,GL,1609375413
Lüderitz,-26.65,15.16,68.0,68,51,21.92,NA,1609375414
Ushuaia,-54.8,-68.3,51.8,57,75,4.7,AR,1609375155
Kenmare,51.88,-9.58,34.27,90,34,3.31,IE,1609375418
Albany,42.6,-73.97,35.01,46,100,6.06,US,1609375419
Hermanus,-34.42,19.23,57.0,91,6,8.21,ZA,1609375420
Ustka,54.58,16.86,35.04,91,16,11.14,PL,1609375422
Luanda,-8.84,13.23,78.8,83,40,5.82,AO,1609375423
Constitución,-35.33,-72.42,60.12,60,0,15.64,CL,1609375425
Castro,-24.79,-50.01,65.53,92,79,4.12,BR,1609375208
Tuktoyaktuk,69.45,-133.04,-14.8,75,90,8.05,CA,1609375427
Arraial do Cabo,-22.97,-42.03,75.45,83,100,26.24,BR,1609375428
Kaitangata,-46.28,169.85,64.0,75,100,5.01,NZ,1609375430
Vao,-22.67,167.48,78.12,83,100,25.14,NC,1609375431
Punta Arenas,-53.15,-70.92,53.6,76,100,10.29,CL,1609375433
Jamestown,42.1,-79.24,42.01,93,90,10.29,US,1609375276
Kostanay,53.17,63.58,1.4,84,90,4.47,KZ,1609375435
Khasan,42.43,130.64,9.84,78,28,21.05,RU,1609375438
Katsuura,35.13,140.3,45.0,18,12,1.99,JP,1609375439
Bairiki Village,1.33,172.98,86.0,70,40,12.75,KI,1609375441
Shelburne,44.08,-80.2,37.99,97,100,21.39,CA,1609375442
New Norfolk,-42.78,147.06,55.99,68,100,1.01,AU,1609375443
East London,-33.02,27.91,70.32,84,76,4.47,ZA,1609375444
Te Anau,-45.42,167.72,59.38,82,96,2.33,NZ,1609375445
Troitskoye,52.98,84.68,-1.48,92,100,6.17,RU,1609375446
George Town,5.41,100.34,75.2,94,40,2.24,MY,1609375362
Muros,42.78,-9.06,50.0,92,100,1.01,ES,1609375449
Kapaa,22.08,-159.32,80.6,57,1,13.87,US,1609375450
Mataura,-46.19,168.86,65.41,67,100,2.98,NZ,1609375451
Ostrovnoy,68.05,39.51,11.79,93,41,11.59,RU,1609375452
Vila Velha,-20.33,-40.29,77.0,78,0,12.75,BR,1609375201
Roebourne,-20.78,117.13,94.33,39,0,1.16,AU,1609375454
Hīt,33.64,42.83,52.57,44,0,6.49,IQ,1609375456
Torbay,47.67,-52.73,28.99,73,40,19.46,CA,1609375457
Tazmalt,36.39,4.4,42.8,75,20,6.93,DZ,1609375458
Khatanga,71.97,102.5,-28.77,82,0,5.12,RU,1609375459
Black River,18.03,-77.85,78.8,69,20,13.87,JM,1609375460
Nome,64.5,-165.41,21.2,79,1,10.29,US,1609375461
Sioux Lookout,50.1,-91.92,6.8,84,90,11.41,CA,1609375462
Evensk,61.95,159.23,-5.48,82,59,15.39,RU,1609375464
Hilo,19.73,-155.09,82.4,54,1,9.17,US,1609375465
Mar del Plata,-38.0,-57.56,59.0,82,40,11.41,AR,1609375344
Ponta do Sol,32.67,-17.1,59.0,77,75,10.29,PT,1609375467
Saint Paul Harbor,57.79,-152.41,35.28,86,39,2.04,US,1609375468
Maningrida,-12.07,134.27,86.43,69,94,7.94,AU,1609375469
Alice Springs,-23.7,133.88,84.0,20,0,12.75,AU,1609375470
Severo-Kuril'sk,50.68,156.12,23.5,91,26,7.67,RU,1609375472
São Félix do Xingu,-6.64,-51.99,75.49,81,94,2.42,BR,1609375473
Port Elizabeth,-33.92,25.57,64.4,93,0,8.05,ZA,1609375474
Vaini,-21.2,-175.2,84.2,74,75,9.17,TO,1609375476
Alto Piquiri,-24.03,-53.44,73.44,92,100,2.75,BR,1609375477
Esim,4.87,-2.24,79.47,87,61,7.61,GH,1609375479
Inuvik,68.35,-133.72,-18.4,75,100,1.3,CA,1609375300
Bethel,41.37,-73.41,35.6,55,1,6.93,US,1609375481
Thompson,55.74,-97.86,6.8,92,90,2.73,CA,1609375483
Yerbogachën,61.28,108.01,-25.56,86,100,4.23,RU,1609375484
Balyqshy,47.07,51.87,17.6,92,3,2.24,KZ,1609375486
Salalah,17.02,54.09,69.8,52,0,8.05,OM,1609375487
Tiarei,-17.53,-149.33,86.0,66,40,8.05,PF,1609375488
Thinadhoo,0.53,72.93,82.78,70,40,4.7,MV,1609375489
Fortuna,40.6,-124.16,51.01,100,90,18.34,US,1609375490
Kumul,42.8,93.45,13.95,76,11,5.79,CN,1609375491
Alofi,-19.06,-169.92,77.0,94,75,8.05,NU,1609375492
Butaritari,3.07,172.79,81.7,77,30,19.42,KI,1609375494
Iqaluit,63.75,-68.51,-2.2,70,75,2.24,CA,1609375495
San Quintín,30.48,-115.95,59.23,57,0,9.19,MX,1609375496
Airai,-8.93,125.41,72.12,81,43,1.41,TL,1609375498
Aras,42.56,-2.36,39.0,93,0,5.1,ES,1609375499
Yulara,-25.24,130.99,87.8,10,0,14.99,AU,1609375500
Praia da Vitória,38.73,-27.07,57.0,82,40,14.05,PT,1609375502
Vallenar,-28.57,-70.76,71.17,45,0,4.83,CL,1609375504
Auki,-8.77,160.7,80.24,79,99,3.87,SB,1609375505
Nikolskoye,59.7,30.79,34.0,93,75,11.18,RU,1609375506
Port Hardy,50.7,-127.42,48.2,81,75,28.86,CA,1609375507
Fairbanks,64.84,-147.72,10.99,77,75,2.01,US,1609375508
Bluff,-46.6,168.33,58.73,79,86,5.17,NZ,1609375510
Mayskiy,47.69,40.1,32.0,98,90,17.9,RU,1609375511
Ribeira Grande,38.52,-28.7,59.79,77,98,19.95,PT,1609375512
Santa Isabel Rio Negro,-0.41,-65.02,73.11,98,95,1.72,BR,1609375513
Dinar,38.06,30.17,37.4,100,90,2.24,TR,1609375515
Avarua,-21.21,-159.78,84.2,79,100,8.05,CK,1609375517
Nanortalik,60.14,-45.24,34.25,87,100,31.97,GL,1609375518
Longyearbyen,78.22,15.64,28.4,86,75,2.24,SJ,1609375519
Dhidhdhoo,6.88,73.1,81.91,77,1,9.26,MV,1609375520
Alyangula,-13.85,136.42,86.0,79,40,8.05,AU,1609375521
Along,28.17,94.77,45.36,55,0,1.66,IN,1609375522
Guerrero Negro,27.98,-114.06,60.62,40,0,17.18,MX,1609375523
Tiksi,71.69,128.87,-16.91,89,47,6.67,RU,1609375525
Kavaratti,10.57,72.64,82.51,73,3,9.33,IN,1609375526
Ulladulla,-35.35,150.47,69.01,68,90,6.93,AU,1609375527
Bonavista,48.65,-53.11,23.0,73,39,9.17,CA,1609375528
Barrow,71.29,-156.79,-13.0,75,90,13.87,US,1609375529
Greytown,-29.06,30.59,64.96,96,80,1.72,ZA,1609375530
Gloversville,43.05,-74.34,30.0,86,90,4.7,US,1609375268
Novobirilyussy,56.95,90.67,2.32,94,100,3.76,RU,1609375533
Ponta Delgada,37.73,-25.67,55.4,71,40,9.17,PT,1609375534
Marchtrenk,48.2,14.12,35.01,100,75,3.36,AT,1609375535
